"source","target","type","weight"
"elektronische musik","electronic","origin","1.0"
"african percussion","cumbia","origin","1.0"
"indigenous colombian music","cumbia","origin","1.0"
"cumbia","cumbia sonidera","subgenre","0.9"
"cumbia","cumbia pop","subgenre","0.8"
"cumbia","chicha","subgenre","0.8"
"indigenous colombian music","vallenato","origin","0.7"
"son cubano","salsa","origin","0.9"
"salsa","mambo","subgenre","0.9"
"african percussion","merengue","origin","0.8"
"indigenous colombian music","merengue","origin","0.7"
"merengue","bachata","subgenre","0.6"
"reggae","reggaeton","origin","0.9"
"dancehall","reggaeton","origin","0.9"
"african percussion","currulao","origin","1.0"
"african percussion","candombe","origin","1.0"
"candombe","tango","origin","0.7"
"african percussion","samba","origin","0.9"
"samba","bossa nova","origin","0.9"
"bossa nova","mpb","origin","0.8"
"mpb","nova mpb","subgenre","0.9"
"african percussion","son cubano","origin","0.8"
"indigenous cuban music","son cubano","origin","0.8"
"son cubano","son jarocho","subgenre","0.7"
"son cubano","bolero","origin","0.6"
"bolero","nueva trova","origin","0.5"
"nueva trova","trova","subgenre","0.9"
"trova","cancion protesta","subgenre","0.8"
"folk latino","cancion protesta","influence","0.7"
"ska","mexican ska","subgenre","0.9"
"punk","mexican ska","origin","0.7"
"reggae","ska","origin","0.9"
"ska","rocksteady","origin","0.9"
"rocksteady","roots reggae","origin","0.9"
"reggae","dub","subgenre","0.8"
"roots reggae","reggae","origin","0.8"
"reggae","lovers rock","subgenre","0.8"
"blues","rock and roll","origin","1.0"
"rock and roll","classic rock","subgenre","0.9"
"classic rock","hard rock","subgenre","0.8"
"classic rock","psychedelic rock","subgenre","0.8"
"blues","jazz","origin","0.8"
"blues","soul","origin","0.9"
"soul","funk","origin","0.8"
"funk","hip hop","origin","0.8"
"soul","motown","subgenre","0.9"
"soul","classic soul","subgenre","0.9"
"classic soul","neo-soul","origin","0.8"
"funk","disco","origin","0.7"
"hip hop","east coast hip hop","subgenre","0.9"
"hip hop","west coast hip hop","subgenre","0.9"
"hip hop","boom bap","subgenre","0.9"
"hip hop","gangster rap","subgenre","0.8"
"hip hop","old school hip hop","subgenre","0.9"
"hip hop","experimental hip hop","subgenre","0.7"
"hip hop","alternative hip hop","subgenre","0.8"
"garage rock","proto-punk","origin","0.8"
"punk","post-punk","subgenre","0.9"
"post-punk","new wave","subgenre","0.9"
"post-punk","darkwave","subgenre","0.8"
"new wave","alternative rock","origin","0.8"
"alternative rock","indie rock","subgenre","0.9"
"alternative rock","grunge","subgenre","0.9"
"psychedelic rock","neo-psychedelic","subgenre","0.9"
"jazz","bebop","subgenre","0.9"
"bebop","cool jazz","origin","0.8"
"bebop","hard bop","subgenre","0.9"
"jazz","nu jazz","subgenre","0.7"
"jazz","vocal jazz","subgenre","0.8"
"jazz","big band","origin","0.8"
"big band","swing music","subgenre","0.9"
"flamenco","rumba flamenca","subgenre","0.9"
"african percussion","fado","origin","0.6"
"blues","blues rock","origin","0.9"
"classic rock","blues rock","subgenre","0.8"
"classic rock","folk rock","subgenre","0.8"
"art rock","progressive rock","subgenre","0.8"
"art rock","glam rock","subgenre","0.6"
"psychedelic rock","art rock","origin","0.6"
"new wave","electropop","subgenre","0.8"
"alternative rock","dream pop","subgenre","0.7"
"indie rock","jangle pop","subgenre","0.8"
"indie rock","britpop","subgenre","0.7"
"indie rock","madchester","subgenre","0.7"
"heavy metal","drone metal","subgenre","0.7"
"hard rock","heavy metal","origin","0.85"
"folk rock","americana","subgenre","0.6"
"house","melodic house","subgenre","0.8"
"house","stutter house","subgenre","0.7"
"house","uk garage","origin","0.6"
"disco","hi-nrg","subgenre","0.8"
"disco","nu disco","subgenre","0.9"
"hi-nrg","eurodance","origin","0.7"
"synthpop","electropop","subgenre","0.8"
"trip hop","downtempo","origin","0.8"
"downtempo","chillwave","subgenre","0.7"
"downtempo","lo-fi","origin","0.6"
"breakbeat","jungle","subgenre","0.9"
"electronic","idm","subgenre","0.8"
"electronic","electronica latina","subgenre","0.8"
"hip hop","breakbeat","origin","0.7"
"jazz","jazz blues","subgenre","0.8"
"jazz","city pop","origin","0.6"
"jazz","smooth jazz","subgenre","0.8"
"bebop","free jazz","origin","0.7"
"hard bop","soul jazz","subgenre","0.7"
"hard bop","jazz fusion","origin","0.6"
"cool jazz","bossa nova","origin","0.7"
"cool jazz","lounge","subgenre","0.6"
"free jazz","avant-garde","subgenre","0.7"
"jazz fusion","jazz funk","subgenre","0.8"
"jazz fusion","acid jazz","subgenre","0.7"
"nu jazz","indie jazz","subgenre","0.7"
"acid jazz","nu jazz","subgenre","0.7"
"soul jazz","jazz funk","subgenre","0.8"
"swing music","jazz","origin","0.8"
"ragtime","jazz","origin","0.8"
"ragtime","blues","origin","0.7"
"lounge","exotica","subgenre","0.8"
"french jazz","jazz","subgenre","0.8"
"brazilian jazz","bossa nova","subgenre","0.8"
"latin jazz","jazz latino","subgenre","0.9"
"jazz latino","latin jazz","subgenre","0.9"
"avant-garde","experimental","subgenre","0.6"
"smooth jazz","jazz fusion","subgenre","0.7"
"soukous","champeta","origin","0.9"
"porro","champeta","origin","0.6"
