id,song_count,cluster
acid jazz,2,jazz
acid rock,8,rock
acid-folk,5,folk-singer-songwriter
acousmatic,1,classical-experimental
acoustic pop,1,pop-indie
adult standards,6,folk-singer-songwriter
african folk,0,african-global-roots
african percussion,0,ancestor
afro folk,0,african-global-roots
afro funk,0,soul-rnb-funk
afro soul,1,soul-rnb-funk
afrobeat,6,african-global-roots
afrobeats latino,2,caribe
afropop,6,african-global-roots
alt country,2,folk-singer-songwriter
alternative dance,4,electronic
alternative hip hop,1,hip-hop
alternative metal,2,rock
alternative pop,2,pop-indie
alternative r&b,6,soul-rnb-funk
alternative rock,74,rock
ambient,0,ancestor
ambient folk,7,electronic
americana,2,folk-singer-songwriter
anatolian rock influence,2,rock
anime,2,pop-indie
anti-folk,2,folk-singer-songwriter
aor,3,folk-singer-songwriter
arabic hip hop,1,hip-hop
art pop,4,pop-indie
art rock,13,rock
avant garde,0,jazz
avant-garde,5,classical-experimental
bacardi,1,caribe
bachata,1,caribe
balkan influence,1,folk-singer-songwriter
baroque pop,14,classical-experimental
bebop,0,ancestor
bedroom pop,6,pop-indie
big band,6,jazz
blues,4,soul-rnb-funk
blues influence,0,soul-rnb-funk
blues rock,7,rock
bolero,13,cancion
bolero influence,12,cancion
boom bap,1,hip-hop
bossa nova,2,brasileira
bossanova influence,0,pop-indie
brazilian hip hop,1,brasileira
brazilian jazz,4,brasileira
breakbeat,1,electronic
britpop,2,rock
c-pop,1,pop-indie
cajun,1,folk-singer-songwriter
calypso,1,caribe
cancion protesta,1,cancion
candombe,9,afro-sudamericano
candombe influence,3,afro-sudamericano
canzone napoletana,2,folk-singer-songwriter
celtic,1,folk-singer-songwriter
chamber music,5,classical-experimental
chamber pop,0,folk-singer-songwriter
champeta,1,caribe
chanson,3,folk-singer-songwriter
chicha,11,caribe
chillwave,1,electronic
choral,4,classical-experimental
christian country,1,folk-singer-songwriter
christmas,2,pop-indie
city pop,3,jazz
classic country,1,folk-singer-songwriter
classic rock,15,rock
classic soul,2,soul-rnb-funk
classical,14,classical-experimental
classical piano,12,classical-experimental
cold wave,9,rock
colombian experimental,4,caribe
colombian pop,3,caribe
comedy,1,pop-indie
contemporary classic,1,classical-experimental
