Track name,Artist name,Album,Playlist name,Type,ISRC,Tidal - id
"La Parca","La Sonora Mazuren","Bailando con Extraños","Favorites tracks","Favorite","USCNP2206004","277200442"
"There, There","Radiohead","Hail To the Thief","Favorites tracks","Favorite","GBAYE0300722","58990565"
"Daydreaming","Radiohead","A Moon Shaped Pool","Favorites tracks","Favorite","GBBKS1600072","60215411"
"I Might Be Wrong","Radiohead","Amnesiac","Favorites tracks","Favorite","GBAYE0001581","58990540"
"A Wolf At the Door","Radiohead","Hail To the Thief","Favorites tracks","Favorite","GBAYE0300818","58990570"
"Where I End and You Begin","Radiohead","Hail To the Thief","Favorites tracks","Favorite","GBAYE0300809","58990562"
"Videotape","Radiohead","In Rainbows","Favorites tracks","Favorite","GBSTK0700010","61799600"
"How to Disappear Completely","Radiohead","Kid A","Favorites tracks","Favorite","GBAYE0000813","58990527"
"Exit Music (For A Film)","Radiohead","OK Computer","Favorites tracks","Favorite","GBAYE9701372","58990514"
"Desolvido","Edson Velandia","Panfletos","Favorites tracks","Favorite","QZW9L2223009","256698682"
"Juvenal y el Candidato","Edson Velandia","Panfletos","Favorites tracks","Favorite","QZW9L2223007","256698680"
"La Guerrillera","Edson Velandia","Panfletos","Favorites tracks","Favorite","QZW9L2223001","256698674"
"Su Madre Patria","Edson Velandia","Su Madre Patria","Favorites tracks","Favorite","US7VG1866964","100980992"
"El Amanecer","Edson Velandia","El Amanecer","Favorites tracks","Favorite","QZNJV2200309","233510510"
"Reckoner","Radiohead","In Rainbows","Favorites tracks","Favorite","GBSTK0700007","61799597"
"Nude","Radiohead","In Rainbows","Favorites tracks","Favorite","GBSTK0700003","61799592"
"In a Manner of Speaking","Nouvelle Vague","Nouvelle vague","Favorites tracks","Favorite","GBEWK0400021","301685604"
"Lejanía","Lisandro Meza","Cumbias Colombianas","Favorites tracks","Favorite","GBBFT9400059","60280064"
"Happy Together","The Turtles","Happy Together","Favorites tracks","Favorite","USA560587940","12445712"
"Last Chance","Thornato","Bennu","Favorites tracks","Favorite","USCCW1610618","249030180"
"Vênus","Nomade Orquestra","Nômade Orquestra","Favorites tracks","Favorite","GBDCR1500083","58211673"
"Pyramid Song","Radiohead","Amnesiac","Favorites tracks","Favorite","GBAYE0001578","58990537"
"Manha De Carnaval","Elizeth Cardoso","Black Orpheus (Original Motion Picture Soundtrack)","Favorites tracks","Favorite","USGR10300501","3763971"
"Preciso Me Encontrar","Cartola","Cartola (1976)","Favorites tracks","Favorite","BREMI7600160","63778829"
"Construção","Chico Buarque","Construção","Favorites tracks","Favorite","BRPGD7100036","3765068"
"Glitter & Gold","Barns Courtney","Glitter & Gold","Favorites tracks","Favorite","GBUM71507092","53203896"
"La Jungla","Flaco Flow y Melanina","Polizones","Favorites tracks","Favorite","FR96X1511494","191036649"
"Street Spirit (Fade Out)","Hasan Ceylan","Street Spirit (Fade Out)","Favorites tracks","Favorite","SE6QE2640540","524657806"
"А я в карты не играю","Юрий Щербаков","ВЕК - Антология (Выпуск 5, «Русская песня»)","Favorites tracks","Favorite","KZA0T2506263","448613164"
"De Colores","José-Luis Orozco","De Colores","Favorites tracks","Favorite","TCADQ1822369","89599158"
"Когда мы покидали свой родимый край...","Юрий Щербаков","Когда мы покидали свой родимый край...","Favorites tracks","Favorite","QMFME2034483","397294455"
"Сон","Юрий Щербаков","Когда мы покидали свой родимый край...","Favorites tracks","Favorite","QMFME2034490","397294462"
"Мы - русские","Жанна Бичевская","Мы - русские","Favorites tracks","Favorite","QMPU51251985","68688143"
"Elbow Pain","Glue Trip","Glue Trip","Favorites tracks","Favorite","US7VG1620694","58260539"
